2025-11-11 | 14:30:02 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:30:02 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:30:02 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:30:02 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:30:02 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:30:02 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:30:02 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:30:02 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:30:03 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:30:03 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:30:03 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:30:03 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'j'
2025-11-11 | 14:31:05 | 127.0.0.1 | gameover.php | El jugador 'Bili' terminó la partida con -12700 puntos y -39 bonus.
2025-11-11 | 14:35:17 | 127.0.0.1 | ranking.php | El jugador 'Bili' guardó su puntuación de -12700 puntos en el ranking.
2025-11-11 | 14:54:56 | 127.0.0.1 | index.php | El jugador 'Bili' accedió al menú principal.
2025-11-11 | 14:55:00 | 127.0.0.1 | play.php | Inicio de partida del jugador 'Bili' con dificultad 'facil'
2025-11-11 | 14:55:05 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'L'
2025-11-11 | 14:55:05 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'a'
2025-11-11 | 14:55:05 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla ' '
2025-11-11 | 14:55:05 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'p'
2025-11-11 | 14:55:06 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'a'
2025-11-11 | 14:55:06 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'c'
2025-11-11 | 14:55:06 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'i'
2025-11-11 | 14:55:06 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'e'
2025-11-11 | 14:55:06 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'n'
2025-11-11 | 14:55:06 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'c'
2025-11-11 | 14:55:06 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'i'
2025-11-11 | 14:55:06 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'a'
2025-11-11 | 14:55:06 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla ' '
2025-11-11 | 14:55:07 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'e'
2025-11-11 | 14:55:07 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 's'
2025-11-11 | 14:55:07 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla ' '
2025-11-11 | 14:55:07 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'u'
2025-11-11 | 14:55:07 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'n'
2025-11-11 | 14:55:07 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'a'
2025-11-11 | 14:55:07 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla ' '
2025-11-11 | 14:55:07 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'v'
2025-11-11 | 14:55:08 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'i'
2025-11-11 | 14:55:08 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'r'
2025-11-11 | 14:55:08 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 't'
2025-11-11 | 14:55:08 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'd'
2025-11-11 | 14:55:09 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'i'
2025-11-11 | 14:55:10 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'd'
2025-11-11 | 14:55:11 | 127.0.0.1 | log_keypress.php | El jugador 'Bili' pulsó la tecla 'o'
